,Platform,Latitude,Longitude,PLATFORM,LIQUID RATE(BLPD),OIL(BOPD),WATER(BWPD),GAS LIFT RATE(M3/DAY),FORM GAS(M3/DAY),TOTAL GAS(M3/DAY),INJECTION RATE(M3/DAY),Free gas
0,NLM1,18.672961111111114,72.35786944444443,NLM1,4333.183,319.658,4013.524,199484.0,103288.00200000001,302772.002,0.0,71317.00200000001
1,NLM2,18.691169444444444,72.34816944444444,NLM2,8066.07,528.8679999999999,7537.204,273704.0,48617.0,322321.0,1038.96,25413.0
2,NLM3,18.708891666666666,72.34123888888888,NLM3,11659.873,1311.38,10348.495,399348.0,71168.0,470516.0,1704.0,0.0
3,NLM4,18.724149999999998,72.33858888888888,NLM4,10922.493,1030.626,9891.869999999999,537496.0,35770.0,573266.0,1831.2,0.0
4,NLM5,18.717388888888888,72.31903888888888,NLM5,7765.909,716.479,7049.429,368829.0,69773.0,438602.0,3528.48,0.0
5,NLM6,18.741780555555557,72.32716944444444,NLM6,15521.812,1306.653,14215.16,477009.0,54875.0,531884.0,0.0,0.0
6,NLM7,18.734761111111112,72.30746944444444,NLM7,11321.695,949.672,10372.023,369104.0,42352.0,411456.0,1344.0,0.0
7,NLM8,18.76081111111111,72.32033055555556,NLM8,15885.01,1000.092,14884.921,481892.0,68225.0,550117.0,1672.8,37794.0
8,NLM9,18.753988888888887,72.30001944444444,NLM9,19260.692,1416.9180000000001,17843.773999999998,429161.0,110289.0,539450.0,362.4,5940.0
9,NLM10,18.786150000000003,72.32593055555556,NLM10,3484.764,210.098,3274.6659999999997,168484.0,122508.0,290992.0,0.0,103660.0
10,NLM11,18.806019444444445,72.33425,NLM11,3728.874,195.221,3533.653,152520.0,152572.0,305092.0,0.0,137714.0
11,NLM12,18.70853611111111,72.211,NLM12,5191.612999999999,178.877,5012.734,114580.0,68116.0,182696.0,0.0,0.0
12,NLM13,18.767141666666667,72.286,NLM13,8148.107,1235.808,6912.298,153368.0,108693.0,262061.0,0.0,0.0
13,WN1,18.66743888888889,72.33245,WN1,0.0,0.0,0.0,0.0,0.0,0.0,2838.48,0.0
14,WN2,18.6911,72.32218055555555,WN2,0.0,0.0,0.0,0.0,0.0,0.0,2829.6,0.0
15,B173A,18.93085,72.306,B173A,9681.873,816.998,8864.876,174888.0,16532.0,191420.0,0.0,0.0
16,B173AB,18.92913888888889,72.30499722222221,B173AB,13163.635,994.554,12169.08,187710.0,41148.0,228858.0,0.0,0.0
17,B173AC,18.95916666666667,72.27472222222222,B173AC,368.183,260.97,107.213,65280.0,46278.0,111558.0,0.0,0.0
18,HA,18.582780555555555,72.2411,HA,5553.798,321.15,5232.649,156629.0,46799.0,203428.0,1099.0,0.0
19,HB,18.537111111111113,72.25741111111111,HB,5682.866,987.561,4695.305,215842.0,48725.0,264567.0,1012.8220000000001,0.0
20,HC,18.660888888888888,72.22215,HC,791.3979999999999,556.286,235.11200000000002,74011.0,17272.0,91283.0,0.0,0.0
21,HD,18.603611111111114,72.23333055555555,HD,3783.906,1424.471,2359.429,220406.041,36775.096,257181.137,1173.638,0.0
22,HE,18.56068888888889,72.24916944444445,HE,8095.754,885.956,7209.8,304558.0,30661.0,335219.0,2118.6,0.0
23,HF,18.637919444444442,72.23411944444445,HF,1486.7530000000002,680.0260000000001,806.727,181418.0,17067.0,198485.0,0.0,0.0
24,HG,18.59585,72.2936111111111,HG,1463.732,930.529,533.203,60970.0,468499.0,529469.0,0.0,409961.0
25,HI,18.6586,72.2142,HI,1427.7179999999998,323.735,1103.982,94250.0,45093.0,139343.0,1127.8020000000001,0.0
26,HJ,18.6207,72.249,HJ,4445.228,685.587,3759.64,223262.0,38531.0,261793.0,1384.632,0.0
27,HK,18.53251111111111,72.2538,HK,4908.478,1304.808,3603.669,277767.0,167650.0,445417.0,604.0,0.0
28,HM,18.59585,72.2936111111111,HM,1267.636,1057.641,209.99599999999998,79428.0,293652.0,373080.0,0.0,246528.0
29,HN,18.642500000000002,72.23388888888888,HN,1004.502,501.789,502.714,64944.0,40680.0,105624.0,0.0,0.0
30,HP,18.668411111111112,72.22643055555555,HP,2295.16,1051.7,1243.46,132956.0,97793.0,230749.0,484.0,0.0
31,HQ,18.595,72.21358888888889,HQ,2007.01,395.639,1611.372,100262.0,25219.0,125481.0,1015.608,0.0
32,HR,18.5686,72.22416944444444,HR,5563.798,1101.163,4462.634,162020.0,58296.0,220316.0,0.0,0.0
33,HS,18.545030555555556,72.23026944444445,HS,4380.165,1294.4,3085.765,361347.0,37407.0,398754.0,1008.0,0.0
34,HT,18.521130555555555,72.24191944444445,HT,4246.766,1255.095,2991.672,250736.0,33301.0,284037.0,1651.2,0.0
35,HV,18.645880555555554,72.24951111111112,HV,2639.335,1128.581,1510.7540000000001,216269.0,199311.0,415580.0,830.4,180256.0
36,HX,18.606030555555556,72.2632611111111,HX,741.369,408.054,333.313,113632.0,277780.0,391412.0,132.0,271311.0
37,HY,18.574761111111112,72.27946944444444,HY,813.411,690.773,122.637,35878.0,443104.0,478982.0,1094.0,393973.0
38,HZ,18.53139722222222,72.27891111111111,HZ,6641.343,3103.492,3537.85,394232.0,191008.0,585240.0,1378.308,0.0
39,HSA,18.501219444444445,72.26573055555555,HSA,5905.978,1425.13,4480.845,302245.0,31984.0,334229.0,640.0,0.0
40,HSB,18.48515,72.25221111111111,HSB,9779.917,2086.87,7693.049,379613.0,22196.0,401809.0,582.96,0.0
41,HSC,18.497700000000002,72.2502,HSC,5372.707,1476.016,3896.69,416868.0,89507.0,506375.0,1126.0,0.0
42,HSD,18.490330555555555,72.24556944444444,HSD,7025.522,1960.757,5064.765,346354.0,138641.0,484995.0,2073.0,0.0
43,B134A,18.726430555555552,72.2281888888889,B134A,2357.184,598.789,1758.394,26546.001,105068.99900000001,131615.0,0.0,18815.0
44,R7A,18.01760277777778,72.37868611111111,R7A,5889.78,3449.579,2440.199,0.0,24061.0,24061.0,0.0,0.0
45,R9A,18.135894444444443,72.42143333333334,R9A,1293.772,1234.604,59.166,0.0,9841.6,9841.6,0.0,0.0
46,R13A,18.259008333333334,72.2723861111111,R13A,2222.614,1495.5749999999998,727.04,0.0,68790.9,68790.9,0.0,0.0
47,R10A,18.14152222222222,72.36791944444444,R10A,2866.574,2454.157,412.416,0.0,15265.9,15265.9,0.0,0.0
48,R12B,18.310597222222224,72.36361666666666,R12B,1201.8310000000001,1200.598,1.233,0.0,18731.3,18731.3,0.0,0.0
